HAB,NICHE
1130,0
1130_vg,0
1140,0
"1310,1330_hpr",0
"1310,1330_hpr",0
1310_pol,0
1310_zk,0
1310_zv,0
1320,0
1330_bin,0
1330_da,0
1330_hpr,0
"1330_hpr,gh",0
1330_mz,0
2110,0
2120,0
2130_had,0
2130_hd,0
2150,0
2160,0
"2160,2170",0
"2160,2170",0
2170,0
2180,0
2190,0
"2190,bos",0
2190_mp,0
2310,28
"2310,2330",28
"2310,2330",0
"2310,4010",28
"2310,4010",22
"2310,bos",28
"2310,gh",28
2330,0
"2330,bos",0
"2330,gh",0
2330_bu,0
2330_dw,0
3110,0
3130,0
"3130,gh",0
3130_aom,0
3130_na,0
3130_rbbmr,0
3130_rbbmr,0
3140,0
"3140,gh",0
3150,0
"3150,gh",0
3150_rbbmr,0
3150_rbbmr,0
3160,0
"3160,gh",0
3160_rbbmr,0
3160_rbbmr,0
3260,0
3270,0
4010,22
"4010,1750",22
"4010,1750",25
"4010,4030",22
"4010,4030",28
"4010,4030,bos",22
"4010,4030,bos",28
"4010,7150",22
"4010,7150",25
"4010,bos",22
"4010,rbbsm",22
"4010,rbbsm",27
4030,28
"4030,bos",28
"4030,gh",28
5130,0
"5130,bos",0
6110,0
"6110,gh",0
6120,0
"6120,bos",0
6210_hk,0
6210_sk,0
6230,0
"6230,6410",0
"6230,6410",17
"6230,bos",0
"6230,gh",0
6230_ha,0
"6230_ha,bos",0
6230_hmo,0
"6230_hmo,bos",0
6230_hn,0
6230_hnk,0
6410,17
"6410,bos",17
"6410,gh",17
6410_mo,17
"6410_mo,bos",17
6410_ve,17
6430,8
"6430,bos",8
"6430,rbbhf",8
"6430,rbbhf",8
"6430,rbbhf,bos",8
"6430,rbbhf,bos",8
6430_bz,9
6430_hf,8
6430_hw,8
6430_mr,8
"6430_mr,rbbmr",8
"6430_mr,rbbmr",12
6510,0
"6510,bos",0
"6510,bos,gh",0
"6510,gh",0
6510_hu,20
"6510_hu,bos",20
6510_hua,19
6510_huk,0
6510_hus,19
7110,24
7140,0
"7140,bos",0
"7140,gh",0
"7140,rbbms",0
"7140,rbbms",14
"7140,rbbms,bos",0
"7140,rbbms,bos",14
7140_base,0
7140_cl,14
7140_meso,14
7140_mrd,0
"7140_mrd,gh",0
7140_oli,23
7150,25
7210,15
7220,0
"7220,gh",0
7230,15
"7230,bos",15
"7230,gh",15
9110,0
"9110,gh",0
9120,0
"9120,gh",0
9120_qb,0
"9120_qb,gh",0
9130,0
9130_end,0
9130_fm,0
9150,0
9150_sk,0
9160,5
"9160,gh",5
9190,6
"9190,gh",6
91E0,0
"91E0,9160",2
"91E0,9160",5
"91E0,gh",0
91E0_sf,0
91E0_va,4
91E0_vavc,0
91E0_vavc,4
91E0_vc,0
91E0_vf,4
91E0_vfvm,2
91E0_vfvm,4
91E0_vm,2
91E0_vmvo,2
91E0_vmvo,1
91E0_vn,3
91E0_vnva,3
91E0_vnva,4
91E0_vnvm,3
91E0_vnvm,2
91E0_vo,1
91F0,0
Brussel,0
gh,0
"gh,3150",0
gh_ae,0
gh_ao,0
gh_ha,0
"gh_ha,bos",0
rbbah,0
rbbha,0
rbbhc,18
"rbbhc,bos",18
rbbhf,8
"rbbhf,bos",8
rbbkam,21
rbbkam+,21
rbbmc,12
"rbbmc,bos",12
rbbmc,7
"rbbmc,bos",7
rbbmr,12
"rbbmr,bos",12
rbbms,14
"rbbms,bos",14
rbbppm,0
rbbsf,0
"rbbsf,bos",0
rbbsg,0
rbbsm,27
"rbbsm,bos",27
rbbso,0
"rbbso,bos",0
rbbsp,0
"rbbsp,bos",0
rbbvos,19
rbbvos+,19
rbbzil,16
rbbzil+,16
x,0